stock_name,date,value,count,Individual_buy_count,NonIndividual_buy_count,Individual_sell_count,NonIndividual_sell_count,Individual_buy_volume,NonIndividual_buy_volume,Individual_sell_volume,NonIndividual_sell_volume,Individual_buy_value,NonIndividual_buy_value,Individual_sell_value,NonIndividual_sell_value,adj_max_price,adj_min_price,adj_first_price,adj_last_price,adj_volume,adj_close_price,change
وصنعت,2012-01-02,1379268348,89,37,0,29,3,1155792,0,714854,440938,1379268348,0,853082961,526185387,99,98,99,99,1155792,99,1.01608806096528
وصنعت,2012-01-03,1001881937,119,36,1,53,1,794517,30000,814517,10000,965913661,35968276,989681937,12200000,102,99,99,100,824517,101,1.84409052808047
وصنعت,2012-01-04,904913573,79,32,0,31,1,738604,0,728604,10000,904913573,0,892623573,12290000,103,100,100,101,738604,102,0.823045267489712
وصنعت,2012-01-07,86398861538,187,67,2,58,1,1659430,70300000,1640666,70318764,2029591568,84369269970,2011139742,84387721796,103,100,102,101,71959430,100,-1.95918367346939
وصنعت,2012-01-08,1926672782,206,82,1,37,2,1510154,54869,658194,906829,1858964436,67708346,811159013,1115513769,103,101,103,102,1565023,102,2.49791840133222
وصنعت,2012-01-09,2944758301,119,21,3,57,2,706899,1597467,884366,1420000,900009041,2044749260,1127158301,1817600000,106,103,103,106,2304366,106,3.81803411860276
وصنعت,2012-01-10,3431233580,294,101,0,86,4,2660590,0,2112083,548507,3431233580,0,2723388423,707845157,108,105,108,106,2660590,107,0.938967136150235
وصنعت,2012-01-11,1528512795,169,54,0,72,1,1182671,0,1172671,10000,1528512795,0,1515502795,13010000,109,105,106,105,1182671,107,0.155038759689922
وصنعت,2012-01-15,1893738923,171,53,1,66,0,682478,803000,1485478,0,869088961,1024649962,1893738923,0,106,104,106,105,1485478,106,-1.31578947368421
وصنعت,2012-01-16,2210894336,183,48,2,61,2,1122055,609000,1135255,595800,1433910285,776984051,1450759005,760135331,107,104,104,106,1731055,106,0.156862745098039
وصنعت,2012-01-17,8564306591,464,95,3,179,4,3085464,3500000,5867464,718000,3971319039,4592987552,7619469193,944837398,110,104,105,107,6585464,108,1.80109631949883
وصنعت,2012-01-25,13680541111,686,85,6,208,6,3670894,8334584,10671068,1334410,4121918834,9558622277,12150296011,1530245100,111,107,107,111,12005478,110,1.78571428571429
